Data,Hora,Leitura
2026-04-30,14:38:56,+    0.00
2026-04-30,14:39:01,+    0.00
2026-04-30,14:39:06,+    0.00
2026-04-30,14:39:11,-    0.01
2026-04-30,14:39:16,+    0.00
2026-04-30,14:39:21,+    0.00
2026-04-30,14:39:26,+    0.00
2026-04-30,14:39:31,+    0.00
2026-04-30,14:39:36,-    0.01
2026-04-30,14:39:41,-    0.01
2026-04-30,14:39:46,+    0.00
2026-04-30,14:39:51,+    0.01
2026-04-30,14:39:56,+    0.01
2026-04-30,14:40:01,+    0.01
2026-04-30,14:40:06,+    0.01
2026-04-30,14:40:11,+    0.01
2026-04-30,14:40:16,+    0.00
2026-04-30,14:40:21,+    0.00
2026-04-30,14:40:26,+    0.00
2026-04-30,14:40:31,+    0.00
2026-04-30,14:40:36,+    0.01
2026-04-30,14:40:41,+    0.01
2026-04-30,14:40:46,+    0.00
2026-04-30,14:40:51,+    0.00
2026-04-30,14:40:56,+    0.00
2026-04-30,14:41:01,+    0.00
2026-04-30,14:41:06,+    0.00
2026-04-30,14:41:11,+    0.00
2026-04-30,14:41:16,-    0.01
2026-04-30,14:41:21,-    0.01
2026-04-30,14:41:26,-    0.01
2026-04-30,14:41:31,+    0.00
2026-04-30,14:41:36,+    0.00
2026-04-30,14:41:41,-    0.01
2026-04-30,14:41:46,+    0.03
2026-04-30,14:41:51,+    0.08
2026-04-30,14:41:56,+    0.10
2026-04-30,14:42:01,+    0.10
2026-04-30,14:42:06,+    0.10
2026-04-30,14:42:11,+    0.13
2026-04-30,14:42:16,+    0.19
2026-04-30,14:42:21,+    0.24
2026-04-30,14:42:26,+    0.29
2026-04-30,14:42:31,+    0.32
2026-04-30,14:42:36,+    0.35
2026-04-30,14:42:42,+    0.36
2026-04-30,14:42:47,+    0.37
2026-04-30,14:42:51,+    0.41
2026-04-30,14:42:56,+    0.45
2026-04-30,14:43:01,+    0.50
2026-04-30,14:43:06,+    0.52
2026-04-30,14:43:11,+    0.57
2026-04-30,14:43:16,+    0.61
2026-04-30,14:43:21,+    0.65
2026-04-30,14:43:27,+    0.69
2026-04-30,14:43:32,+    0.73
2026-04-30,14:43:36,+    0.77
2026-04-30,14:43:41,+    0.81
2026-04-30,14:43:46,+    0.86
2026-04-30,14:43:51,+    0.90
2026-04-30,14:43:56,+    0.93
2026-04-30,14:44:01,+    0.98
2026-04-30,14:44:06,+    1.03
2026-04-30,14:44:11,+    1.06
2026-04-30,14:44:16,+    1.10
