Data,Hora,Leitura
2026-05-18,08:59:19,+    0.00
2026-05-18,08:59:24,+    0.00
2026-05-18,08:59:29,+    0.00
2026-05-18,08:59:34,+    0.00
2026-05-18,08:59:39,+    0.00
2026-05-18,08:59:44,+    4.94
2026-05-18,08:59:49,+    0.00
2026-05-18,08:59:54,+    0.00
2026-05-18,08:59:59,+    0.00
2026-05-18,09:00:04,-    0.01
2026-05-18,09:00:09,+    0.00
2026-05-18,09:00:14,-    0.02
2026-05-18,09:00:19,-    0.02
2026-05-18,09:00:24,-   58.55
2026-05-18,09:00:29,+    0.03
2026-05-18,09:00:34,+    0.03
2026-05-18,09:00:39,+    0.03
2026-05-18,09:00:44,+    0.02
2026-05-18,09:00:49,+    0.03
2026-05-18,09:00:54,+    0.02
2026-05-18,09:00:59,+    0.10
2026-05-18,09:01:04,+    0.18
2026-05-18,09:01:09,+    0.21
2026-05-18,09:01:14,+    0.23
2026-05-18,09:01:19,+    0.31
2026-05-18,09:01:24,+    0.47
2026-05-18,09:01:29,+    0.54
2026-05-18,09:01:34,+    0.66
2026-05-18,09:01:39,+    0.70
2026-05-18,09:01:44,+    0.70
2026-05-18,09:01:49,+    0.84
2026-05-18,09:01:54,+    0.96
2026-05-18,09:01:59,+    1.08
2026-05-18,09:02:04,+    1.16
2026-05-18,09:02:09,+    1.22
2026-05-18,09:02:14,+    1.34
2026-05-18,09:02:19,+    1.39
2026-05-18,09:02:24,+    1.45
2026-05-18,09:02:29,+    1.55
2026-05-18,09:02:34,+    1.63
2026-05-18,09:02:39,+    1.73
2026-05-18,09:02:44,+    1.84
2026-05-18,09:02:49,+    1.92
2026-05-18,09:02:54,+    1.96
2026-05-18,09:02:59,+    2.02
2026-05-18,09:03:04,+    2.14
2026-05-18,09:03:09,+    2.19
2026-05-18,09:03:14,+    2.22
2026-05-18,09:03:19,+    2.35
2026-05-18,09:03:24,+    2.43
2026-05-18,09:03:29,+    2.56
2026-05-18,09:03:34,+    2.67
2026-05-18,09:03:39,+    2.72
2026-05-18,09:03:44,+    2.72
2026-05-18,09:03:49,+    2.86
2026-05-18,09:03:54,+    2.99
2026-05-18,09:03:59,+    3.07
2026-05-18,09:04:04,+    3.08
2026-05-18,09:04:09,+    3.25
2026-05-18,09:04:14,+    3.39
2026-05-18,09:04:19,+    3.55
2026-05-18,09:04:24,+    3.65
2026-05-18,09:04:29,+    3.73
2026-05-18,09:04:34,+    3.83
2026-05-18,09:04:39,+    3.95
2026-05-18,09:04:44,+    4.01
2026-05-18,09:04:49,+    4.04
2026-05-18,09:04:54,+    4.18
2026-05-18,09:04:59,+    4.28
2026-05-18,09:05:04,+    4.32
2026-05-18,09:05:09,+    4.43
2026-05-18,09:05:14,+    4.55
2026-05-18,09:05:19,+    4.61
2026-05-18,09:05:24,+    4.77
2026-05-18,09:05:29,+    4.94
2026-05-18,09:05:34,+    4.93
2026-05-18,09:05:39,+    5.01
2026-05-18,09:05:44,+    5.16
2026-05-18,09:05:49,+    5.28
2026-05-18,09:05:54,+    5.39
2026-05-18,09:05:59,+    5.49
2026-05-18,09:06:04,+    5.59
2026-05-18,09:06:09,+    5.73
2026-05-18,09:06:14,+    5.79
2026-05-18,09:06:19,+    6.01
2026-05-18,09:06:24,+    6.11
2026-05-18,09:06:29,+    6.24
2026-05-18,09:06:34,+    6.40
2026-05-18,09:06:39,+    6.40
2026-05-18,09:06:44,+    6.47
2026-05-18,09:06:49,+    6.54
2026-05-18,09:06:54,+    6.62
2026-05-18,09:06:59,+    6.72
2026-05-18,09:07:04,+    6.88
2026-05-18,09:07:09,+    6.96
2026-05-18,09:07:14,+    7.07
2026-05-18,09:07:19,+    7.15
2026-05-18,09:07:24,+    7.27
2026-05-18,09:07:29,+    7.42
2026-05-18,09:07:34,+    7.49
2026-05-18,09:07:39,+    7.57
2026-05-18,09:07:44,+    7.68
2026-05-18,09:07:49,+    7.72
2026-05-18,09:07:54,+    7.84
2026-05-18,09:07:59,+    8.00
2026-05-18,09:08:04,+    8.07
2026-05-18,09:08:09,+    8.16
2026-05-18,09:08:14,+    8.33
2026-05-18,09:08:19,+    8.41
2026-05-18,09:08:24,+    8.55
2026-05-18,09:08:29,+    8.57
2026-05-18,09:08:34,+    8.73
2026-05-18,09:08:39,+    8.75
2026-05-18,09:08:44,+    8.83
2026-05-18,09:08:49,+    9.01
2026-05-18,09:08:54,+    9.11
