Data,Hora,Leitura
2026-05-06,08:23:44,+    0.01
2026-05-06,08:23:49,+    0.00
2026-05-06,08:23:54,+    0.00
2026-05-06,08:23:59,+  192.83
2026-05-06,08:24:05,+    0.00
2026-05-06,08:24:10,+    0.00
2026-05-06,08:24:15,+    0.01
2026-05-06,08:24:20,+    0.00
2026-05-06,08:24:25,+    0.01
2026-05-06,08:24:30,+    0.00
2026-05-06,08:24:35,+    0.00
2026-05-06,08:24:40,+    0.00
2026-05-06,08:24:44,+    0.00
2026-05-06,08:24:50,+    0.00
2026-05-06,08:24:55,+    0.01
2026-05-06,08:25:00,+    0.00
2026-05-06,08:25:05,+    0.01
2026-05-06,08:25:10,+    0.00
2026-05-06,08:25:15,+    0.00
2026-05-06,08:25:20,+    0.01
2026-05-06,08:25:24,+    0.00
2026-05-06,08:25:29,+    0.01
2026-05-06,08:25:35,+    0.00
2026-05-06,08:25:40,+    0.01
2026-05-06,08:25:45,+    0.01
2026-05-06,08:25:49,+    0.01
2026-05-06,08:25:55,+    0.01
2026-05-06,08:26:00,+    0.01
2026-05-06,08:26:05,+    0.01
2026-05-06,08:26:10,+    0.01
2026-05-06,08:26:15,+    0.01
2026-05-06,08:26:20,+    0.01
2026-05-06,08:26:25,+    0.00
2026-05-06,08:26:30,+    0.01
2026-05-06,08:26:34,+    0.01
2026-05-06,08:26:40,+    0.01
2026-05-06,08:26:45,+    0.01
2026-05-06,08:26:50,+    0.00
2026-05-06,08:26:55,+    0.01
2026-05-06,08:27:00,+    0.01
2026-05-06,08:27:05,+    0.01
2026-05-06,08:27:10,+    0.01
2026-05-06,08:27:14,+    0.01
2026-05-06,08:27:19,+    0.01
2026-05-06,08:27:25,+    0.01
2026-05-06,08:27:30,+    0.00
2026-05-06,08:27:35,+    0.01
2026-05-06,08:27:40,+    0.00
2026-05-06,08:27:45,+    0.00
2026-05-06,08:27:50,+    0.00
2026-05-06,08:27:55,+    0.00
2026-05-06,08:27:59,+    0.00
2026-05-06,08:28:04,+    0.01
2026-05-06,08:28:10,+    0.01
2026-05-06,08:28:15,+    0.01
2026-05-06,08:28:20,+    0.00
2026-05-06,08:28:25,+    0.01
2026-05-06,08:28:30,+    0.01
2026-05-06,08:28:35,+    0.01
2026-05-06,08:28:40,+    0.01
2026-05-06,08:28:44,+    0.00
2026-05-06,08:28:49,+    0.01
2026-05-06,08:28:55,+    0.00
2026-05-06,08:29:00,+    0.00
2026-05-06,08:29:04,+    0.00
2026-05-06,08:29:09,+    0.00
2026-05-06,08:29:15,+    0.01
2026-05-06,08:29:20,+    0.01
2026-05-06,08:29:25,+    0.01
2026-05-06,08:29:30,+    0.00
2026-05-06,08:29:35,+    0.01
2026-05-06,08:29:40,+    0.01
2026-05-06,08:29:45,+    0.01
2026-05-06,08:29:50,+    0.01
2026-05-06,08:29:55,+    0.01
2026-05-06,08:30:00,+    0.01
2026-05-06,08:30:05,+    0.01
2026-05-06,08:30:09,+    0.00
2026-05-06,08:30:14,+    0.05
2026-05-06,08:30:20,+    0.12
2026-05-06,08:30:25,+    0.18
2026-05-06,08:30:30,+    0.24
2026-05-06,08:30:35,+    0.30
2026-05-06,08:30:40,+    0.35
2026-05-06,08:30:45,+    0.54
2026-05-06,08:30:50,+    0.61
2026-05-06,08:30:54,+    0.64
2026-05-06,08:30:59,+    0.68
2026-05-06,08:31:05,+    0.74
2026-05-06,08:31:10,+    0.75
2026-05-06,08:31:15,+    0.83
2026-05-06,08:31:20,+    0.83
2026-05-06,08:31:25,+    0.83
2026-05-06,08:31:30,+    0.88
2026-05-06,08:31:35,+    1.03
2026-05-06,08:31:39,+    1.04
2026-05-06,08:31:44,+    1.04
2026-05-06,08:31:50,+    1.11
2026-05-06,08:31:55,+    1.15
2026-05-06,08:31:59,+    1.15
2026-05-06,08:32:04,+    1.15
2026-05-06,08:32:10,+    1.20
2026-05-06,08:32:15,+    1.27
2026-05-06,08:32:19,+    1.35
2026-05-06,08:32:24,+    1.42
2026-05-06,08:32:29,+    1.50
2026-05-06,08:32:35,+    1.54
2026-05-06,08:32:40,+    1.66
2026-05-06,08:32:45,+    1.70
2026-05-06,08:32:50,+    1.75
