Data,Hora,Leitura
2026-05-06,11:40:25,+    0.87
2026-05-06,11:40:30,+    0.90
2026-05-06,11:40:35,+    0.97
2026-05-06,11:40:40,+    1.05
2026-05-06,11:40:45,+    1.11
2026-05-06,11:40:50,+    1.14
2026-05-06,11:40:55,+    1.17
2026-05-06,11:41:00,+    1.21
2026-05-06,11:41:05,+    1.29
2026-05-06,11:41:10,+    1.34
2026-05-06,11:41:15,+    1.38
2026-05-06,11:41:20,+    1.43
2026-05-06,11:41:25,+    1.54
2026-05-06,11:41:30,+    1.58
2026-05-06,11:41:35,+    1.65
2026-05-06,11:41:40,+    1.73
2026-05-06,11:41:45,+    1.79
2026-05-06,11:41:50,+    1.87
2026-05-06,11:41:55,+    1.95
2026-05-06,11:42:00,+    2.03
2026-05-06,11:42:05,+    2.08
2026-05-06,11:42:10,+    2.15
2026-05-06,11:42:15,+    2.18
2026-05-06,11:42:20,+    2.23
2026-05-06,11:42:25,+    2.33
2026-05-06,11:42:30,+    2.35
2026-05-06,11:42:35,+    2.38
2026-05-06,11:42:40,+    2.46
2026-05-06,11:42:45,+    2.49
2026-05-06,11:42:50,+    2.60
2026-05-06,11:42:55,+    2.66
2026-05-06,11:43:00,+    2.72
2026-05-06,11:43:05,+    2.75
2026-05-06,11:43:10,+    2.84
2026-05-06,11:43:15,+    2.91
2026-05-06,11:43:20,+    2.97
2026-05-06,11:43:25,+    3.04
2026-05-06,11:43:30,+    3.05
2026-05-06,11:43:35,+    3.08
2026-05-06,11:43:40,+    3.08
2026-05-06,11:43:45,+    3.13
2026-05-06,11:43:50,+    3.23
2026-05-06,11:43:55,+    3.32
2026-05-06,11:44:00,+    3.41
2026-05-06,11:44:05,+    3.48
2026-05-06,11:44:10,+    3.54
2026-05-06,11:44:15,+    3.63
2026-05-06,11:44:20,+    3.70
2026-05-06,11:44:25,+    3.74
2026-05-06,11:44:30,+    3.81
2026-05-06,11:44:35,+    3.88
2026-05-06,11:44:40,+    3.94
2026-05-06,11:44:45,+    3.94
2026-05-06,11:44:50,+    3.97
2026-05-06,11:44:55,+    4.04
2026-05-06,11:45:00,+    4.14
2026-05-06,11:45:05,+    4.26
2026-05-06,11:45:10,+    4.31
2026-05-06,11:45:15,+    4.35
2026-05-06,11:45:20,+    4.42
2026-05-06,11:45:25,+    4.47
2026-05-06,11:45:30,+    4.57
2026-05-06,11:45:35,+    4.60
2026-05-06,11:45:40,+    4.64
2026-05-06,11:45:45,+    4.72
2026-05-06,11:45:50,+    4.81
2026-05-06,11:45:55,+    4.85
2026-05-06,11:46:00,+    4.92
2026-05-06,11:46:05,+    5.00
2026-05-06,11:46:10,+    5.09
2026-05-06,11:46:15,+    5.15
2026-05-06,11:46:20,+    5.22
2026-05-06,11:46:25,+    5.28
2026-05-06,11:46:30,+    5.34
2026-05-06,11:46:35,+    5.40
2026-05-06,11:46:40,+    5.46
2026-05-06,11:46:45,+    5.53
2026-05-06,11:46:50,+    5.58
2026-05-06,11:46:55,+    5.63
2026-05-06,11:47:00,+    5.69
2026-05-06,11:47:05,+    5.76
2026-05-06,11:47:10,+    5.76
2026-05-06,11:47:15,+    5.85
2026-05-06,11:47:20,+    5.95
2026-05-06,11:47:25,+    6.02
2026-05-06,11:47:30,+    6.08
2026-05-06,11:47:35,+    6.14
2026-05-06,11:47:40,+    6.20
2026-05-06,11:47:45,+    6.23
2026-05-06,11:47:50,+    6.32
2026-05-06,11:47:55,+    6.38
2026-05-06,11:48:00,+    6.44
2026-05-06,11:48:05,+    6.49
2026-05-06,11:48:10,+    6.55
2026-05-06,11:48:15,+    6.63
2026-05-06,11:48:20,+    6.69
2026-05-06,11:48:25,+    6.77
