Data,Hora,Leitura
2026-05-11,12:04:04,+    0.01
2026-05-11,12:04:09,+    0.00
2026-05-11,12:04:14,-    0.01
2026-05-11,12:04:19,+    0.00
2026-05-11,12:04:24,+    0.00
2026-05-11,12:04:29,+    0.00
2026-05-11,12:04:34,+    0.00
2026-05-11,12:04:39,+    0.00
2026-05-11,12:04:44,+    0.00
2026-05-11,12:04:50,+    0.00
2026-05-11,12:04:54,+    0.00
2026-05-11,12:04:59,+    0.00
2026-05-11,12:05:04,+    0.00
2026-05-11,12:05:09,-    0.04
2026-05-11,12:05:14,-    0.04
2026-05-11,12:05:19,-    0.01
2026-05-11,12:05:24,+    0.00
2026-05-11,12:05:29,+    0.00
2026-05-11,12:05:35,+    0.00
2026-05-11,12:05:39,+    0.00
2026-05-11,12:05:44,+    0.00
2026-05-11,12:05:49,-    0.01
2026-05-11,12:05:54,-    0.01
2026-05-11,12:05:59,-    0.01
2026-05-11,12:06:04,+    0.00
2026-05-11,12:06:09,-    0.01
2026-05-11,12:06:14,-    0.01
2026-05-11,12:06:20,-    0.01
2026-05-11,12:06:24,-    0.01
2026-05-11,12:06:29,-    0.01
2026-05-11,12:06:34,-    0.02
2026-05-11,12:06:39,-    0.01
2026-05-11,12:06:44,-    0.01
2026-05-11,12:06:49,-    0.01
2026-05-11,12:06:54,-    0.02
2026-05-11,12:06:59,-    0.01
2026-05-11,12:07:04,-    0.01
2026-05-11,12:07:09,-    0.01
2026-05-11,12:07:14,-    0.01
2026-05-11,12:07:19,+    0.06
2026-05-11,12:07:24,+    0.07
2026-05-11,12:07:29,+    0.08
2026-05-11,12:07:34,+    0.14
2026-05-11,12:07:39,+    0.20
2026-05-11,12:07:44,+    0.25
2026-05-11,12:07:49,+    0.30
2026-05-11,12:07:54,+    0.37
2026-05-11,12:07:59,+    0.40
2026-05-11,12:08:04,+    0.47
2026-05-11,12:08:09,+    0.51
2026-05-11,12:08:14,+    0.53
2026-05-11,12:08:19,+    0.59
2026-05-11,12:08:24,+    0.64
2026-05-11,12:08:29,+    0.70
2026-05-11,12:08:34,+    0.70
2026-05-11,12:08:39,+    0.70
2026-05-11,12:08:44,+    0.77
2026-05-11,12:08:49,+    0.80
2026-05-11,12:08:54,+    0.88
2026-05-11,12:08:59,+    0.96
2026-05-11,12:09:04,+    1.03
2026-05-11,12:09:09,+    1.07
2026-05-11,12:09:14,+    1.10
2026-05-11,12:09:19,+    1.17
2026-05-11,12:09:24,+    1.31
2026-05-11,12:09:29,+    1.35
2026-05-11,12:09:34,+    1.36
2026-05-11,12:09:39,+    1.35
2026-05-11,12:09:44,+    1.35
2026-05-11,12:09:49,+    1.35
2026-05-11,12:09:54,+    1.40
2026-05-11,12:09:59,+    1.43
2026-05-11,12:10:04,+    1.49
2026-05-11,12:10:09,+    1.59
2026-05-11,12:10:14,+    1.64
2026-05-11,12:10:20,+    1.69
2026-05-11,12:10:24,+    1.78
2026-05-11,12:10:29,+    1.98
2026-05-11,12:10:34,+    2.05
2026-05-11,12:10:39,+    2.11
2026-05-11,12:10:44,+    2.13
2026-05-11,12:10:49,+    2.19
2026-05-11,12:10:54,+    2.24
2026-05-11,12:10:59,+    2.34
2026-05-11,12:11:04,+    2.36
2026-05-11,12:11:09,+    2.35
2026-05-11,12:11:14,+    2.40
2026-05-11,12:11:19,+    2.45
2026-05-11,12:11:24,+    2.51
2026-05-11,12:11:29,+    2.51
2026-05-11,12:11:34,+    2.53
2026-05-11,12:11:39,+    2.60
2026-05-11,12:11:44,+    2.68
2026-05-11,12:11:49,+    2.77
2026-05-11,12:11:54,+    2.83
2026-05-11,12:11:59,+    2.90
2026-05-11,12:12:04,+    2.95
2026-05-11,12:12:09,+    2.99
2026-05-11,12:12:14,+    3.05
2026-05-11,12:12:19,+    3.11
2026-05-11,12:12:24,+    3.18
2026-05-11,12:12:29,+    3.24
2026-05-11,12:12:34,+    3.23
2026-05-11,12:12:39,+    3.37
2026-05-11,12:12:44,+    3.44
2026-05-11,12:12:49,+    3.48
2026-05-11,12:12:54,+    3.50
2026-05-11,12:12:59,+    3.58
2026-05-11,12:13:04,+    3.65
2026-05-11,12:13:09,+    3.69
2026-05-11,12:13:14,+    3.77
2026-05-11,12:13:19,+    3.80
2026-05-11,12:13:24,+    3.83
2026-05-11,12:13:29,+    3.89
2026-05-11,12:13:34,+    3.99
2026-05-11,12:13:39,+    4.05
2026-05-11,12:13:44,+    4.07
2026-05-11,12:13:49,+    4.11
2026-05-11,12:13:54,+    4.17
2026-05-11,12:13:59,+    4.23
2026-05-11,12:14:04,+    4.28
2026-05-11,12:14:09,+    4.35
2026-05-11,12:14:14,+    4.38
2026-05-11,12:14:19,+    4.37
2026-05-11,12:14:24,+    4.41
2026-05-11,12:14:29,+    4.48
2026-05-11,12:14:34,+    4.59
2026-05-11,12:14:39,+    4.63
2026-05-11,12:14:44,+    4.67
2026-05-11,12:14:49,+    4.72
2026-05-11,12:14:54,+    4.77
2026-05-11,12:14:59,+    4.84
2026-05-11,12:15:04,+    4.91
2026-05-11,12:15:09,+    4.96
2026-05-11,12:15:14,+    5.02
2026-05-11,12:15:19,+    5.06
2026-05-11,12:15:24,+    5.06
2026-05-11,12:15:29,+    5.12
2026-05-11,12:15:34,+    5.19
2026-05-11,12:15:39,+    5.25
2026-05-11,12:15:44,+    5.26
2026-05-11,12:15:49,+    5.31
2026-05-11,12:15:54,+    5.39
2026-05-11,12:15:59,+    5.45
2026-05-11,12:16:04,+    5.51
2026-05-11,12:16:09,+    5.57
2026-05-11,12:16:14,+    5.63
2026-05-11,12:16:19,+    5.70
2026-05-11,12:16:24,+    5.76
2026-05-11,12:16:29,+    5.87
2026-05-11,12:16:34,+    5.92
2026-05-11,12:16:39,+    6.01
2026-05-11,12:16:44,+    6.02
2026-05-11,12:16:49,+    6.08
