Data,Hora,Leitura
2026-05-07,11:11:58,+    0.00
2026-05-07,11:12:03,+    0.00
2026-05-07,11:12:08,+    0.00
2026-05-07,11:12:13,+    0.00
2026-05-07,11:12:18,+    0.00
2026-05-07,11:12:23,+    0.00
2026-05-07,11:12:28,+    0.00
2026-05-07,11:12:33,+    0.00
2026-05-07,11:12:38,+    0.00
2026-05-07,11:12:43,+    0.00
2026-05-07,11:12:48,+    0.00
2026-05-07,11:12:53,+    0.00
2026-05-07,11:12:58,+    0.00
2026-05-07,11:13:03,+    0.00
2026-05-07,11:13:08,+    0.00
2026-05-07,11:13:13,+    0.00
2026-05-07,11:13:18,+    0.00
2026-05-07,11:13:23,+    0.00
2026-05-07,11:13:28,+    0.00
2026-05-07,11:13:33,+    0.00
2026-05-07,11:13:38,-    0.01
2026-05-07,11:13:43,+    0.00
2026-05-07,11:13:48,+    0.00
2026-05-07,11:13:53,+    0.00
2026-05-07,11:13:58,+    0.00
2026-05-07,11:14:03,-    0.01
2026-05-07,11:14:08,-    0.01
2026-05-07,11:14:13,-    0.01
2026-05-07,11:14:18,-    0.01
2026-05-07,11:14:23,-    0.01
2026-05-07,11:14:28,+    0.03
2026-05-07,11:14:33,+    0.09
2026-05-07,11:14:38,+    0.15
2026-05-07,11:14:43,+    0.23
2026-05-07,11:14:48,+    0.25
2026-05-07,11:14:53,+    0.30
2026-05-07,11:14:58,+    0.31
2026-05-07,11:15:03,+    0.38
2026-05-07,11:15:08,+    0.46
2026-05-07,11:15:13,+    0.47
2026-05-07,11:15:18,+    0.48
2026-05-07,11:15:23,+    0.54
2026-05-07,11:15:28,+    0.59
2026-05-07,11:15:33,+    0.59
2026-05-07,11:15:38,+    0.68
2026-05-07,11:15:43,+    0.74
2026-05-07,11:15:48,+    0.81
2026-05-07,11:15:53,+    0.88
2026-05-07,11:15:58,+    0.95
2026-05-07,11:16:03,+    1.01
2026-05-07,11:16:08,+    1.01
2026-05-07,11:16:13,+    1.02
2026-05-07,11:16:18,+    1.15
2026-05-07,11:16:23,+    1.22
2026-05-07,11:16:28,+    1.24
2026-05-07,11:16:33,+    1.24
2026-05-07,11:16:38,+    1.29
2026-05-07,11:16:43,+    1.34
2026-05-07,11:16:48,+    1.36
2026-05-07,11:16:53,+    1.48
2026-05-07,11:16:58,+    1.58
2026-05-07,11:17:03,+    1.59
2026-05-07,11:17:08,+    1.59
2026-05-07,11:17:13,+    1.59
2026-05-07,11:17:18,+    1.63
2026-05-07,11:17:23,+    1.71
2026-05-07,11:17:28,+    1.78
2026-05-07,11:17:33,+    1.84
2026-05-07,11:17:38,+    1.85
2026-05-07,11:17:43,+    1.92
2026-05-07,11:17:48,+    1.98
2026-05-07,11:17:53,+    2.03
2026-05-07,11:17:58,+    2.06
2026-05-07,11:18:03,+    2.15
2026-05-07,11:18:08,+    2.19
2026-05-07,11:18:13,+    2.22
2026-05-07,11:18:18,+    2.35
2026-05-07,11:18:23,+    2.44
2026-05-07,11:18:28,+    2.50
2026-05-07,11:18:33,+    2.52
2026-05-07,11:18:38,+    2.53
2026-05-07,11:18:43,+    2.64
2026-05-07,11:18:48,+    2.70
2026-05-07,11:18:53,+    2.70
2026-05-07,11:18:58,+    2.78
2026-05-07,11:19:03,+    2.86
