Data,Hora,Leitura
2026-05-08,11:50:11,+    0.00
2026-05-08,11:50:16,+  193.48
2026-05-08,11:50:21,+  193.50
2026-05-08,11:50:26,+    0.00
2026-05-08,11:50:31,+    0.00
2026-05-08,11:50:36,+    0.00
2026-05-08,11:50:41,+    0.00
2026-05-08,11:50:46,+    0.00
2026-05-08,11:50:51,-    0.03
2026-05-08,11:50:56,+    0.00
2026-05-08,11:51:01,-    0.02
2026-05-08,11:51:06,-    0.01
2026-05-08,11:51:11,-    0.01
2026-05-08,11:51:16,-    0.01
2026-05-08,11:51:21,-    0.01
2026-05-08,11:51:26,-    0.01
2026-05-08,11:51:31,-    0.01
2026-05-08,11:51:36,-    0.01
2026-05-08,11:51:41,-    0.01
2026-05-08,11:51:46,-    0.01
2026-05-08,11:51:51,-    0.01
2026-05-08,11:51:56,-    0.01
2026-05-08,11:52:01,-    0.02
2026-05-08,11:52:06,-    0.02
2026-05-08,11:52:11,-    0.02
2026-05-08,11:52:16,-    0.04
2026-05-08,11:52:21,-    0.03
2026-05-08,11:52:26,-    0.04
2026-05-08,11:52:31,+    0.01
2026-05-08,11:52:36,+    0.09
2026-05-08,11:52:41,+    0.12
2026-05-08,11:52:46,+    0.15
2026-05-08,11:52:51,+    0.19
2026-05-08,11:52:56,+    0.26
2026-05-08,11:53:01,+    0.30
2026-05-08,11:53:06,+    0.37
2026-05-08,11:53:11,+    0.44
2026-05-08,11:53:16,+    0.48
2026-05-08,11:53:21,+    0.53
2026-05-08,11:53:26,+    0.52
2026-05-08,11:53:31,+    0.58
2026-05-08,11:53:36,+    0.65
2026-05-08,11:53:41,+    0.74
2026-05-08,11:53:46,+    0.78
2026-05-08,11:53:51,+    0.85
2026-05-08,11:53:56,+    0.90
2026-05-08,11:54:01,+    0.95
2026-05-08,11:54:06,+    1.02
2026-05-08,11:54:11,+    1.13
2026-05-08,11:54:16,+    1.11
2026-05-08,11:54:21,+    1.19
2026-05-08,11:54:26,+    1.25
2026-05-08,11:54:31,+    1.32
2026-05-08,11:54:36,+    1.38
2026-05-08,11:54:41,+    1.45
2026-05-08,11:54:46,+    1.52
2026-05-08,11:54:51,+    1.58
2026-05-08,11:54:56,+    1.61
2026-05-08,11:55:01,+    1.67
2026-05-08,11:55:06,+    1.75
2026-05-08,11:55:11,+    1.83
2026-05-08,11:55:16,+    1.87
2026-05-08,11:55:21,+    1.93
2026-05-08,11:55:26,+    1.99
2026-05-08,11:55:31,+    2.07
2026-05-08,11:55:36,+    2.06
2026-05-08,11:55:41,+    2.12
2026-05-08,11:55:46,+    2.19
2026-05-08,11:55:51,+    2.28
2026-05-08,11:55:56,+    2.34
2026-05-08,11:56:01,+    2.42
2026-05-08,11:56:06,+    2.48
2026-05-08,11:56:11,+    2.52
2026-05-08,11:56:16,+    2.53
2026-05-08,11:56:21,+    2.62
2026-05-08,11:56:26,+    2.69
2026-05-08,11:56:31,+    2.77
2026-05-08,11:56:36,+    2.84
2026-05-08,11:56:41,+    2.88
2026-05-08,11:56:46,+    2.91
2026-05-08,11:56:51,+    2.95
2026-05-08,11:56:56,+    3.03
2026-05-08,11:57:01,+    3.05
2026-05-08,11:57:06,+    3.07
2026-05-08,11:57:11,+    3.07
2026-05-08,11:57:16,+    3.16
2026-05-08,11:57:21,+    3.25
2026-05-08,11:57:26,+    3.34
2026-05-08,11:57:31,+    3.41
2026-05-08,11:57:36,+    3.51
2026-05-08,11:57:41,+    3.59
2026-05-08,11:57:46,+    3.68
2026-05-08,11:57:51,+    3.76
2026-05-08,11:57:56,+    3.85
2026-05-08,11:58:01,+    3.93
2026-05-08,11:58:06,+    4.00
2026-05-08,11:58:11,+    4.08
2026-05-08,11:58:16,+    4.13
2026-05-08,11:58:21,+    4.22
2026-05-08,11:58:26,+    4.30
2026-05-08,11:58:31,+    4.36
2026-05-08,11:58:36,+    4.41
2026-05-08,11:58:41,+    4.46
2026-05-08,11:58:46,+    4.51
2026-05-08,11:58:51,+    4.59
2026-05-08,11:58:56,+    4.66
2026-05-08,11:59:01,+    4.75
2026-05-08,11:59:06,+    4.80
2026-05-08,11:59:11,+    4.87
2026-05-08,11:59:16,+    4.96
2026-05-08,11:59:21,+    4.97
2026-05-08,11:59:26,+    5.09
2026-05-08,11:59:31,+    5.20
2026-05-08,11:59:36,+    5.28
2026-05-08,11:59:41,+    5.30
2026-05-08,11:59:46,+    5.36
2026-05-08,11:59:51,+    5.47
2026-05-08,11:59:56,+    5.48
2026-05-08,12:00:00,+    5.52
2026-05-08,12:00:06,+    5.59
2026-05-08,12:00:11,+    5.67
2026-05-08,12:00:16,+    5.74
2026-05-08,12:00:21,+    5.80
2026-05-08,12:00:26,+    5.85
2026-05-08,12:00:31,+    5.84
2026-05-08,12:00:36,+    5.93
2026-05-08,12:00:41,+    6.00
2026-05-08,12:00:45,+    6.06
2026-05-08,12:00:51,+    6.15
2026-05-08,12:00:56,+    6.22
2026-05-08,12:01:01,+    6.26
2026-05-08,12:01:06,+    6.33
2026-05-08,12:01:11,+    6.40
2026-05-08,12:01:16,+    6.46
2026-05-08,12:01:21,+    6.55
2026-05-08,12:01:26,+    6.55
2026-05-08,12:01:30,+    6.63
2026-05-08,12:01:36,+    6.68
2026-05-08,12:01:41,+    6.75
2026-05-08,12:01:46,+    6.84
2026-05-08,12:01:50,+    6.93
2026-05-08,12:01:56,+    6.99
2026-05-08,12:02:01,+    7.05
2026-05-08,12:02:06,+    7.05
2026-05-08,12:02:11,+    7.12
2026-05-08,12:02:16,+    7.16
2026-05-08,12:02:21,+    7.22
2026-05-08,12:02:26,+    7.30
2026-05-08,12:02:31,+    7.37
2026-05-08,12:02:35,+    7.44
2026-05-08,12:02:41,+    7.51
2026-05-08,12:02:46,+    7.59
2026-05-08,12:02:51,+    7.66
2026-05-08,12:02:56,+    7.71
2026-05-08,12:03:01,+    7.79
2026-05-08,12:03:06,+    7.85
2026-05-08,12:03:11,+    7.94
2026-05-08,12:03:16,+    8.02
2026-05-08,12:03:20,+    8.10
2026-05-08,12:03:26,+    8.16
2026-05-08,12:03:31,+    8.23
2026-05-08,12:03:36,+    8.33
2026-05-08,12:03:41,+    8.38
2026-05-08,12:03:46,+    8.38
2026-05-08,12:03:51,+    8.40
2026-05-08,12:03:56,+    8.48
2026-05-08,12:04:01,+    8.55
2026-05-08,12:04:05,+    8.62
2026-05-08,12:04:11,+    8.69
2026-05-08,12:04:16,+    8.76
2026-05-08,12:04:21,+    8.79
2026-05-08,12:04:26,+    8.85
2026-05-08,12:04:31,+    8.93
2026-05-08,12:04:36,+    8.99
2026-05-08,12:04:41,+    9.06
2026-05-08,12:04:45,+    9.13
2026-05-08,12:04:51,+    9.21
2026-05-08,12:04:56,+    9.24
2026-05-08,12:05:01,+    9.29
2026-05-08,12:05:06,+    9.36
2026-05-08,12:05:11,+    9.43
2026-05-08,12:05:16,+    9.50
2026-05-08,12:05:21,+    9.57
2026-05-08,12:05:26,+    9.60
2026-05-08,12:05:30,+    9.63
2026-05-08,12:05:36,+    9.68
2026-05-08,12:05:41,+    9.76
2026-05-08,12:05:46,+    9.86
2026-05-08,12:05:51,+    9.93
2026-05-08,12:05:56,+   10.00
2026-05-08,12:06:01,+   10.09
2026-05-08,12:06:06,+   10.15
2026-05-08,12:06:11,+   10.23
2026-05-08,12:06:15,+   10.29
2026-05-08,12:06:21,+   10.35
2026-05-08,12:06:26,+   10.45
2026-05-08,12:06:31,+   10.51
2026-05-08,12:06:36,+   10.58
2026-05-08,12:06:41,+   10.65
2026-05-08,12:06:46,+   10.73
2026-05-08,12:06:51,+   10.81
2026-05-08,12:06:55,+   10.88
2026-05-08,12:07:00,+   10.95
2026-05-08,12:07:06,+   10.98
2026-05-08,12:07:11,+   11.08
2026-05-08,12:07:16,+   11.13
2026-05-08,12:07:21,+   11.19
2026-05-08,12:07:26,+   11.18
2026-05-08,12:07:31,+   11.22
2026-05-08,12:07:36,+   11.26
2026-05-08,12:07:41,+   11.37
2026-05-08,12:07:46,+   11.44
2026-05-08,12:07:51,+   11.51
2026-05-08,12:07:56,+   11.58
2026-05-08,12:08:01,+   11.65
2026-05-08,12:08:05,+   11.74
2026-05-08,12:08:11,+   11.80
2026-05-08,12:08:16,+   11.87
2026-05-08,12:08:21,+   11.92
2026-05-08,12:08:26,+   11.92
2026-05-08,12:08:31,+   11.99
2026-05-08,12:08:36,+   12.09
2026-05-08,12:08:41,+   12.17
2026-05-08,12:08:45,+   12.25
2026-05-08,12:08:50,+   12.29
2026-05-08,12:08:56,+   12.36
2026-05-08,12:09:01,+   12.41
2026-05-08,12:09:06,+   12.48
2026-05-08,12:09:11,+   12.53
2026-05-08,12:09:16,+   12.57
2026-05-08,12:09:21,+   12.63
2026-05-08,12:09:26,+   12.71
2026-05-08,12:09:30,+   12.79
2026-05-08,12:09:35,+   12.86
2026-05-08,12:09:41,+   12.92
2026-05-08,12:09:46,+   13.00
2026-05-08,12:09:51,+   13.07
2026-05-08,12:09:56,+   13.15
2026-05-08,12:10:01,+   13.17
2026-05-08,12:10:06,+   13.19
2026-05-08,12:10:11,+   13.25
2026-05-08,12:10:15,+   13.30
2026-05-08,12:10:20,+   13.40
2026-05-08,12:10:26,+   13.46
2026-05-08,12:10:31,+   13.53
2026-05-08,12:10:36,+   13.60
2026-05-08,12:10:41,+   13.68
2026-05-08,12:10:46,+   13.74
2026-05-08,12:10:51,+   13.78
2026-05-08,12:10:56,+   13.83
2026-05-08,12:11:00,+   13.86
2026-05-08,12:11:06,+   13.90
2026-05-08,12:11:11,+   13.98
2026-05-08,12:11:16,+   14.04
2026-05-08,12:11:21,+   14.12
2026-05-08,12:11:26,+   14.19
2026-05-08,12:11:31,+   14.25
2026-05-08,12:11:36,+   14.33
2026-05-08,12:11:41,+   14.39
2026-05-08,12:11:46,+   14.45
2026-05-08,12:11:51,+   14.54
2026-05-08,12:11:56,+   14.54
2026-05-08,12:12:01,+   14.62
2026-05-08,12:12:05,+   14.71
2026-05-08,12:12:10,+   14.79
2026-05-08,12:12:16,+   14.80
2026-05-08,12:12:21,+   14.92
2026-05-08,12:12:25,+   15.00
2026-05-08,12:12:30,+   15.08
2026-05-08,12:12:36,+   15.11
2026-05-08,12:12:41,+   15.21
2026-05-08,12:12:46,+   15.26
2026-05-08,12:12:50,+   15.30
2026-05-08,12:12:55,+   15.29
2026-05-08,12:13:01,+   15.42
2026-05-08,12:13:06,+   15.48
2026-05-08,12:13:10,+   15.48
2026-05-08,12:13:15,+   15.55
2026-05-08,12:13:21,+   15.62
2026-05-08,12:13:26,+   15.69
2026-05-08,12:13:31,+   15.75
2026-05-08,12:13:36,+   15.82
2026-05-08,12:13:41,+   15.89
2026-05-08,12:13:46,+   15.96
2026-05-08,12:13:51,+   16.03
2026-05-08,12:13:55,+   16.10
2026-05-08,12:14:00,+   16.18
2026-05-08,12:14:06,+   16.24
2026-05-08,12:14:11,+   16.33
2026-05-08,12:14:16,+   16.41
2026-05-08,12:14:21,+   16.52
2026-05-08,12:14:26,+   16.59
2026-05-08,12:14:31,+   16.65
2026-05-08,12:14:35,+   16.72
2026-05-08,12:14:40,+   16.79
2026-05-08,12:14:45,+   16.85
2026-05-08,12:14:51,+   16.93
2026-05-08,12:14:56,+   16.96
2026-05-08,12:15:01,+   17.03
2026-05-08,12:15:06,+   17.07
2026-05-08,12:15:11,+   17.10
2026-05-08,12:15:16,+   17.17
2026-05-08,12:15:20,+   17.24
2026-05-08,12:15:25,+   17.33
2026-05-08,12:15:31,+   17.41
2026-05-08,12:15:36,+   17.48
2026-05-08,12:15:41,+   17.55
2026-05-08,12:15:46,+   17.61
2026-05-08,12:15:51,+   17.70
2026-05-08,12:15:56,+   17.76
2026-05-08,12:16:01,+   17.82
2026-05-08,12:16:05,+   17.88
2026-05-08,12:16:10,+   17.97
2026-05-08,12:16:16,+   17.96
2026-05-08,12:16:21,+   18.01
2026-05-08,12:16:26,+   18.07
2026-05-08,12:16:31,+   18.15
2026-05-08,12:16:36,+   18.22
2026-05-08,12:16:41,+   18.28
2026-05-08,12:16:46,+   18.33
2026-05-08,12:16:50,+   18.45
2026-05-08,12:16:55,+   18.51
2026-05-08,12:17:01,+   18.55
2026-05-08,12:17:06,+   18.66
2026-05-08,12:17:11,+   18.66
2026-05-08,12:17:16,+   18.76
2026-05-08,12:17:21,+   18.82
2026-05-08,12:17:26,+   18.88
2026-05-08,12:17:30,+   18.88
2026-05-08,12:17:35,+   18.97
2026-05-08,12:17:40,+   19.04
2026-05-08,12:17:46,+   19.11
2026-05-08,12:17:51,+   19.17
2026-05-08,12:17:56,+   19.19
2026-05-08,12:18:01,+   19.26
2026-05-08,12:18:06,+   19.33
2026-05-08,12:18:11,+   19.40
2026-05-08,12:18:15,+   19.47
2026-05-08,12:18:20,+   19.54
