Data,Hora,Leitura
2026-05-12,09:04:21,+    0.00
2026-05-12,09:04:26,+    0.00
2026-05-12,09:04:31,+    0.00
2026-05-12,09:04:36,+    0.00
2026-05-12,09:04:41,+    0.00
2026-05-12,09:04:46,+    0.00
2026-05-12,09:04:51,-    0.01
2026-05-12,09:04:56,+    0.00
2026-05-12,09:05:01,+    0.02
2026-05-12,09:05:06,+    0.03
2026-05-12,09:05:11,+    0.02
2026-05-12,09:05:16,+    0.02
2026-05-12,09:05:21,+    0.02
2026-05-12,09:05:26,+    0.03
2026-05-12,09:05:31,+    0.03
2026-05-12,09:05:36,+    0.14
2026-05-12,09:05:41,+    0.12
2026-05-12,09:05:46,+    0.25
2026-05-12,09:05:51,+    0.27
2026-05-12,09:05:56,+    0.37
2026-05-12,09:06:01,+    0.49
2026-05-12,09:06:06,+    0.52
2026-05-12,09:06:11,+    0.62
2026-05-12,09:06:16,+    0.66
2026-05-12,09:06:21,+    0.78
2026-05-12,09:06:26,+    0.78
2026-05-12,09:06:31,+    0.87
2026-05-12,09:06:36,+    1.04
2026-05-12,09:06:41,+    1.03
2026-05-12,09:06:46,+    1.12
2026-05-12,09:06:51,+    1.20
2026-05-12,09:06:56,+    1.28
2026-05-12,09:07:01,+    1.34
2026-05-12,09:07:06,+    1.38
2026-05-12,09:07:11,+    1.50
2026-05-12,09:07:16,+    1.54
2026-05-12,09:07:21,+    1.65
2026-05-12,09:07:25,+    1.76
2026-05-12,09:07:31,+    1.84
2026-05-12,09:07:36,+    1.85
2026-05-12,09:07:41,+    1.95
2026-05-12,09:07:46,+    2.01
2026-05-12,09:07:51,+    2.10
2026-05-12,09:07:56,+    2.17
2026-05-12,09:08:01,+    2.25
2026-05-12,09:08:06,+    2.36
2026-05-12,09:08:11,+    2.41
2026-05-12,09:08:16,+    2.49
2026-05-12,09:08:21,+    2.57
2026-05-12,09:08:26,+    2.66
2026-05-12,09:08:31,+    2.74
2026-05-12,09:08:36,+    2.80
2026-05-12,09:08:41,+    2.82
2026-05-12,09:08:46,+    2.92
2026-05-12,09:08:51,+    3.03
2026-05-12,09:08:56,+    3.08
2026-05-12,09:09:01,+    3.16
2026-05-12,09:09:06,+    3.24
2026-05-12,09:09:11,+    3.32
2026-05-12,09:09:16,+    3.41
2026-05-12,09:09:21,+    3.51
2026-05-12,09:09:26,+    3.61
2026-05-12,09:09:31,+    3.71
2026-05-12,09:09:36,+    3.80
2026-05-12,09:09:41,+    3.89
2026-05-12,09:09:46,+    3.95
2026-05-12,09:09:51,+    3.98
2026-05-12,09:09:56,+    4.03
2026-05-12,09:10:01,+    4.11
2026-05-12,09:10:06,+    4.21
2026-05-12,09:10:11,+    4.31
2026-05-12,09:10:16,+    4.39
2026-05-12,09:10:21,+    4.48
2026-05-12,09:10:26,+    4.56
2026-05-12,09:10:31,+    4.62
2026-05-12,09:10:36,+    4.68
2026-05-12,09:10:41,+    4.76
2026-05-12,09:10:46,+    4.90
2026-05-12,09:10:51,+    4.97
2026-05-12,09:10:56,+    5.03
2026-05-12,09:11:01,+    5.10
2026-05-12,09:11:05,+    5.18
2026-05-12,09:11:11,+    5.24
2026-05-12,09:11:16,+    5.37
2026-05-12,09:11:21,+    5.45
2026-05-12,09:11:26,+    5.52
