Data,Hora,Leitura
2026-05-22,09:10:37,+    0.00
2026-05-22,09:10:42,+    0.00
2026-05-22,09:10:47,+    0.00
2026-05-22,09:10:52,+    0.00
2026-05-22,09:10:57,+    0.01
2026-05-22,09:11:02,+    0.01
2026-05-22,09:11:07,+    0.01
2026-05-22,09:11:12,+    0.00
2026-05-22,09:11:17,+    0.01
2026-05-22,09:11:22,+    0.01
2026-05-22,09:11:27,+    0.01
2026-05-22,09:11:32,+    0.01
2026-05-22,09:11:37,+    0.00
2026-05-22,09:11:42,+    0.01
2026-05-22,09:11:47,+    0.00
2026-05-22,09:11:52,+    0.01
2026-05-22,09:11:57,+    0.01
2026-05-22,09:12:02,+    0.00
2026-05-22,09:12:07,+    0.00
2026-05-22,09:12:12,+    0.01
2026-05-22,09:12:17,+    0.01
2026-05-22,09:12:22,+    0.00
2026-05-22,09:12:27,+    0.01
2026-05-22,09:12:32,+    0.01
2026-05-22,09:12:37,+    0.01
2026-05-22,09:12:42,+    0.01
2026-05-22,09:12:47,+    0.01
2026-05-22,09:12:52,+    0.01
2026-05-22,09:12:57,+    0.01
2026-05-22,09:13:02,+    0.01
2026-05-22,09:13:07,+    0.01
2026-05-22,09:13:12,+    0.00
2026-05-22,09:13:17,+    0.00
2026-05-22,09:13:22,-    0.01
2026-05-22,09:13:27,+    0.00
2026-05-22,09:13:32,+    0.00
2026-05-22,09:13:37,+    0.00
2026-05-22,09:13:42,+    0.00
2026-05-22,09:13:47,+    0.01
2026-05-22,09:13:52,+    0.00
2026-05-22,09:13:57,+    0.01
2026-05-22,09:14:02,+    0.01
2026-05-22,09:14:07,+    0.00
2026-05-22,09:14:12,+    0.01
2026-05-22,09:14:17,+    0.00
2026-05-22,09:14:22,+    0.00
2026-05-22,09:14:27,+    0.02
2026-05-22,09:14:32,+    0.11
2026-05-22,09:14:37,+    0.18
2026-05-22,09:14:42,+    0.25
2026-05-22,09:14:47,+    0.28
2026-05-22,09:14:52,+    0.39
2026-05-22,09:14:57,+    0.45
2026-05-22,09:15:02,+    0.49
2026-05-22,09:15:07,+    0.61
2026-05-22,09:15:12,+    0.68
2026-05-22,09:15:17,+    0.75
2026-05-22,09:15:22,+    0.78
2026-05-22,09:15:27,+    0.83
2026-05-22,09:15:32,+    0.99
2026-05-22,09:15:37,+    1.04
2026-05-22,09:15:42,+    1.07
2026-05-22,09:15:47,+    1.12
2026-05-22,09:15:52,+    1.20
2026-05-22,09:15:57,+    1.30
2026-05-22,09:16:02,+    1.37
2026-05-22,09:16:07,+    1.43
2026-05-22,09:16:12,+    1.52
2026-05-22,09:16:17,+    1.59
2026-05-22,09:16:22,+    1.65
2026-05-22,09:16:27,+    1.74
2026-05-22,09:16:32,+    1.80
2026-05-22,09:16:37,+    1.86
2026-05-22,09:16:42,+    1.93
2026-05-22,09:16:47,+    1.99
2026-05-22,09:16:52,+    2.05
2026-05-22,09:16:57,+    2.14
2026-05-22,09:17:02,+    2.21
