instrumento,A,B,u_I_mA,u_A,u_B,cov_AB
143025,1.87593889,-7.50199226,0.0035,0.00009545,0.00126631,-0.00000011
143026,1.87661907,-7.50996709,0.0035,0.00009304,0.00123425,-0.00000010
